Keyword,Company,Job_title,City,State,,Salary,,
software developer,Delta Airlines,Software Development Engineer,Atlanta, GA,,$105K - $135K (Glassdoor est.),,
software developer,Adobe,Software Development Engineer - Front-end,San Jose, CA,,$113K - $206K (Employer est.),,
software developer,TELCLOUD,Software Engineer/Developer,San Diego, CA,,$100K - $130K (Employer est.),,
software developer,BNY,"Senior Associate, Back-End Engineer",Pittsburgh, PA,,$82K - $129K (Glassdoor est.),,
software developer,JPMorganChase,"Software Engineer III - C#, .NET and React",Chicago, IL,,$114K - $155K (Employer est.),,
software developer,Schuco USA,Full Stack Developer,New York, NY,,$120K - $130K (Employer est.),,
software developer,The Personal Injury Hub,Full Stack Developer (Non-Remote),Miami, FL,,$70K - $75K (Employer est.),,
software developer,Dev Technology,UI/UX Front-End Engineer,Tysons Corner, VA,,$83K - $140K (Glassdoor est.),,
software developer,Protalus,Full Stack Developer,Tualatin, OR,,$85K - $95K (Employer est.),,
software developer,"Richardson Cooling Packages, LLC",Software Engineer,New Castle, PA,,$75K - $125K (Employer est.),,
software developer,Corle Building Systems,Tekla Software Developer,Imler, PA,,$110K - $130K (Employer est.),,
software developer,"T-Mobile USA, Inc.","Engineer, Software",Overland Park, KS,,$93K - $167K (Employer est.),,
software developer,Maxcess,Epicor Software Developer,United States,,,,,
software developer,Tesla,"Software Engineer, Fullstack, AI Evaluation",Palo Alto, CA,,$120K - $264K (Employer est.),,
software developer,Aircraft Performance Group,Software Development Engineer in Test (SDET),Lone Tree, CO,,$100K (Employer est.),,
software developer,Appfigures,Back End Developer (Mid Level),New York, NY,,$100K - $150K (Employer est.),,
software developer,Tek Ninjas,"Software Engineer (Javascript, Typescript, Node.js, APIs)",Johnston, IA,,$66K - $97K (Glassdoor est.),,
