,Keyword,Job_title,Company,City,State,Mean_Salary,Remote,Rent Q4 2024,Vacancy Q4 2024,Median Monthly Rent,Electricity Price (cents per kWh),Internet Speed (Mbps),Average internet monthly payment,Annual Commute Cost,Remote Salary (Annual),In-Office Salary (Annual),Remote Work Expenses,In-Office Expenses,Total In-office salary,Total Remote salary
145,IT project manager,Project Leader,"Health In Tech, Inc",Remote,,97500.0,1,,,,,,,,97500.0,97500.0,,,,
146,IT project manager,Sr. Scrum Master,Centric Consulting,Saint Louis,Missouri,121000.0,0,,,$843.00,11.43,293.4,72.8,,121000.0,121000.0,2108.04,,,123108.04
147,IT project manager,Senior Agile Scrum Master,Ivy Tech Community College,Indiana,,90000.0,0,,,,,,,,90000.0,90000.0,,,,
148,IT project manager,Technical Project Manager,ManTech,Eglin Village,Florida,118000.0,0,,,"$1,218.00",15.28,322.3,83.25,,118000.0,118000.0,2649.24,,,120649.24
149,IT project manager,IT Project Manager Sr,Valvoline Global,Lexington,Kentucky,81500.0,0,15.5,13.5%,$783.00,12.48,261.8,79.56,4469.83,81500.0,81500.0,2302.56,32369.83,113869.83,83802.56
150,IT project manager,[Hybrid] Telecom - IT Project Manager 5 (13988-4),JND,Mountain View,California,,0,,,,,,,,,,,,,
151,IT project manager,IT PROJECT MANAGER II,Frost Bank,Austin,Texas,97000.0,0,45.7,27.9%,,,,,6365.46,97000.0,97000.0,,88625.46,185625.46000000002,
152,IT project manager,IT PROJECT MANAGER II (317A12325v2),Infinite Campus,Blaine,Minnesota,115000.0,0,,,"$1,010.00",14.36,304.2,68.66,,115000.0,115000.0,2374.8,,,117374.8
153,IT project manager,IT Project Manager IV,Trustmark,Lake Forest,Illinois,143000.0,0,,,,,,,,143000.0,143000.0,,,,
154,IT project manager,Senior IT Project Manager,American University,Washington,,122500.0,0,41.4,18.5%,,,,,,122500.0,122500.0,,,,
155,IT project manager,Sr. Scrum Master (Hybrid),Broadridge,Edgewood,New York,115000.0,0,,,,,,,,115000.0,115000.0,,,,
156,IT project manager,Sr. Project Manager,Gallagher Bassett,Rolling Meadows,Illinois,140500.0,0,,,,,,,,140500.0,140500.0,,,,
157,IT project manager,Senior Project Manager - Agile Practitioner,"Red Hat, Inc.",Raleigh,North Carolina,154000.0,0,,,,,,,5262.66,154000.0,154000.0,,,,
158,IT project manager,Senior Corporate Security/IT Project Manager,PG&E Corporation,Oakland,California,165000.0,0,,,,,,,8415.01,165000.0,165000.0,,,,
159,IT project manager,Associate Project Manager,Illumina,San Diego,California,84000.0,0,43.3,18.8%,,,,,6210.03,84000.0,84000.0,,84150.03,168150.03,
160,IT project manager,IT Project Manager IV,University of Arizona,United States,,130000.0,0,,,,,,,,130000.0,130000.0,,,,
161,IT project manager,"Graduate Program, Information Technology",Red Bull,Santa Monica,California,80000.0,0,,,,,,,,80000.0,80000.0,,,,
162,IT project manager,Senior IT Project Manager/Scrum Master,Qualcomm,San Diego,California,178000.0,0,43.3,18.8%,,,,,6210.03,178000.0,178000.0,,84150.03,262150.03,
