,Keyword,Company,Job_title,Location,salary,post_date,Experience,Mean_Salary,Remote,City/County,State,Cleaned_Salary
113,IT project manager,HII,RF Spectrum Program Manager 1,"Annapolis Junction, MD",$106K - $150K (Employer est.),3d,Entry-level,128000.0,0,Annapolis Junction,MD,128.0
114,IT project manager,The Fund for Public Health in New York City,10101 - Disease Surveillance Product Manager I,Westcliffe,$90K - $125K (Employer est.),30d+,Entry-level,107500.0,0,Westcliffe,Unknown,107.5
117,IT project manager,PG&E Corporation,"IT Project Manager, Associate","Oakland, CA",$90K - $136K (Employer est.),6d,Mid-level,113000.0,0,Oakland,CA,113.0
119,IT project manager,Erie Insurance,Senior Project Manager (IT),"Erie, PA",$97K - $156K (Employer est.),24h,Mid-level,126500.0,0,Erie,PA,126.5
121,IT project manager,Proconex,Project Lead - Emerson DeltaV,"Philadelphia, PA",$120K (Employer est.),30d+,Mid-level,120000.0,0,Philadelphia,PA,120.0
122,IT project manager,Integrated Home Care Services,Healthcare IT Project Manager/Business Analyst,Remote,$80K (Employer est.),24h,Mid-level,80000.0,1,Remote,Unknown,80.0
123,IT project manager,Ephesus Solutions,Senior Project Manager,"Mount Juliet, TN",$130K - $140K (Employer est.),2d,Mid-level,135000.0,0,Mount Juliet,TN,135.0
124,IT project manager,DriveCentric,"Sr. Technical Project Manager, Team Lead (.NET / DevSecOps)",Remote,$185K (Employer est.),24h,Mid-level,185000.0,1,Remote,Unknown,185.0
125,IT project manager,EOAI,Project Manager / Tech / Automation / AI,United States,$86K - $93K (Employer est.),14d,Mid-level,89500.0,0,United States,Unknown,89.5
126,IT project manager,Stratascale,Stratascale Sr. Project Manager,Remote,$130K - $160K (Employer est.),24h,Mid-level,145000.0,1,Remote,Unknown,145.0
128,IT project manager,Urban Insight,Technical Project Manager - Freelance,Remote,$40.00 - $50.00 Per Hour (Employer est.),12d,Mid-level,,1,Remote,Unknown,
129,IT project manager,The Hitch Group,Senior Project Manager,Remote,$105K - $111K (Employer est.),14d,Mid-level,108000.0,1,Remote,Unknown,108.0
130,IT project manager,"Alutiiq, LLC",Deputy Project Manager,"Artesia, NM",$78K - $98K (Employer est.),16d,Mid-level,88000.0,0,Artesia,NM,88.0
131,IT project manager,GlobeSync Tech,Project Manager 3,Remote,$120K - $160K (Employer est.),28d,Mid-level,140000.0,1,Remote,Unknown,140.0
132,IT project manager,Velera,Senior Client Delivery Project Manager (Debit) - Remote,Remote,$85K - $108K (Employer est.),24h,Mid-level,96500.0,1,Remote,Unknown,96.5
133,IT project manager,Tesla,"Sr. Project Manager, Outbound Logistics","Austin, TX",$70K - $115K (Glassdoor est.),24h,Mid-level,92500.0,0,Austin,TX,92.5
134,IT project manager,Evolve Security,Service Delivery Manager/Project Manager,Remote,$75K - $85K (Employer est.),13d,Mid-level,80000.0,1,Remote,Unknown,80.0
135,IT project manager,"Mercury Insurance Services, LLC",IT Project Manager II,Remote,$85K - $158K (Employer est.),6d,Mid-level,121500.0,1,Remote,Unknown,121.5
136,IT project manager,Kaiser Permanente,Project Manager II,"Downey, CA",$73K - $95K (Employer est.),24h,Mid-level,84000.0,0,Downey,CA,84.0
137,IT project manager,Agua Caliente Casino • Resort • Spa,IT Project Manager II,"Rancho Mirage, CA",$84K - $113K (Glassdoor est.),24h,Mid-level,98500.0,0,Rancho Mirage,CA,98.5
138,IT project manager,"Cozzini Bros., Inc.",Sr. IT Project Manager,"Chicago, IL",$140K - $180K (Employer est.),24h,Mid-level,160000.0,0,Chicago,IL,160.0
